pair_id,optical_path,sar_path,land_cover_label,split
0,data/processed/optical\opt_0000.npy,data/processed/sar\sar_0000.npy,barren,train
1,data/processed/optical\opt_0001.npy,data/processed/sar\sar_0001.npy,agriculture,train
2,data/processed/optical\opt_0002.npy,data/processed/sar\sar_0002.npy,agriculture,train
3,data/processed/optical\opt_0003.npy,data/processed/sar\sar_0003.npy,forest,train
4,data/processed/optical\opt_0004.npy,data/processed/sar\sar_0004.npy,barren,train
5,data/processed/optical\opt_0005.npy,data/processed/sar\sar_0005.npy,agriculture,train
6,data/processed/optical\opt_0006.npy,data/processed/sar\sar_0006.npy,forest,train
7,data/processed/optical\opt_0007.npy,data/processed/sar\sar_0007.npy,barren,train
8,data/processed/optical\opt_0008.npy,data/processed/sar\sar_0008.npy,agriculture,train
9,data/processed/optical\opt_0009.npy,data/processed/sar\sar_0009.npy,agriculture,train
10,data/processed/optical\opt_0010.npy,data/processed/sar\sar_0010.npy,agriculture,train
11,data/processed/optical\opt_0011.npy,data/processed/sar\sar_0011.npy,agriculture,train
12,data/processed/optical\opt_0012.npy,data/processed/sar\sar_0012.npy,agriculture,train
13,data/processed/optical\opt_0013.npy,data/processed/sar\sar_0013.npy,barren,train
14,data/processed/optical\opt_0014.npy,data/processed/sar\sar_0014.npy,agriculture,train
15,data/processed/optical\opt_0015.npy,data/processed/sar\sar_0015.npy,barren,train
16,data/processed/optical\opt_0016.npy,data/processed/sar\sar_0016.npy,barren,train
17,data/processed/optical\opt_0017.npy,data/processed/sar\sar_0017.npy,forest,train
18,data/processed/optical\opt_0018.npy,data/processed/sar\sar_0018.npy,forest,train
19,data/processed/optical\opt_0019.npy,data/processed/sar\sar_0019.npy,barren,train
20,data/processed/optical\opt_0020.npy,data/processed/sar\sar_0020.npy,forest,train
21,data/processed/optical\opt_0021.npy,data/processed/sar\sar_0021.npy,forest,train
22,data/processed/optical\opt_0022.npy,data/processed/sar\sar_0022.npy,barren,train
23,data/processed/optical\opt_0023.npy,data/processed/sar\sar_0023.npy,agriculture,train
24,data/processed/optical\opt_0024.npy,data/processed/sar\sar_0024.npy,forest,train
25,data/processed/optical\opt_0025.npy,data/processed/sar\sar_0025.npy,barren,train
26,data/processed/optical\opt_0026.npy,data/processed/sar\sar_0026.npy,barren,train
27,data/processed/optical\opt_0027.npy,data/processed/sar\sar_0027.npy,forest,train
28,data/processed/optical\opt_0028.npy,data/processed/sar\sar_0028.npy,forest,train
29,data/processed/optical\opt_0029.npy,data/processed/sar\sar_0029.npy,barren,train
30,data/processed/optical\opt_0030.npy,data/processed/sar\sar_0030.npy,forest,train
31,data/processed/optical\opt_0031.npy,data/processed/sar\sar_0031.npy,agriculture,train
32,data/processed/optical\opt_0032.npy,data/processed/sar\sar_0032.npy,barren,train
33,data/processed/optical\opt_0033.npy,data/processed/sar\sar_0033.npy,barren,train
34,data/processed/optical\opt_0034.npy,data/processed/sar\sar_0034.npy,barren,train
35,data/processed/optical\opt_0035.npy,data/processed/sar\sar_0035.npy,agriculture,train
36,data/processed/optical\opt_0036.npy,data/processed/sar\sar_0036.npy,barren,train
37,data/processed/optical\opt_0037.npy,data/processed/sar\sar_0037.npy,barren,train
38,data/processed/optical\opt_0038.npy,data/processed/sar\sar_0038.npy,forest,train
39,data/processed/optical\opt_0039.npy,data/processed/sar\sar_0039.npy,forest,train
40,data/processed/optical\opt_0040.npy,data/processed/sar\sar_0040.npy,agriculture,train
41,data/processed/optical\opt_0041.npy,data/processed/sar\sar_0041.npy,forest,train
42,data/processed/optical\opt_0042.npy,data/processed/sar\sar_0042.npy,forest,train
43,data/processed/optical\opt_0043.npy,data/processed/sar\sar_0043.npy,forest,train
44,data/processed/optical\opt_0044.npy,data/processed/sar\sar_0044.npy,barren,train
45,data/processed/optical\opt_0045.npy,data/processed/sar\sar_0045.npy,forest,train
