Advertising,Sales
62.44,26.37
143.1,47.22
112.48,40.41
93.81,25.82
31.84,16.43
31.84,19.02
18.13,20.23
131.26,42.92
94.16,31.23
109.13,36.8
12.88,16.23
145.79,50.8
126.54,41.55
39.73,21.93
35.46,18.87
35.68,22.85
52.59,20.07
83.47,30.4
70.47,26.47
50.77,16.13
95.66,36.62
29.53,17.94
50.9,22.78
61.29,24.61
73.85,22.81
119.92,40.18
37.95,17.58
81.99,27.85
92.94,33.8
16.5,14.94
95.06,43.6
33.87,18.77
19.11,15.01
142.84,48.16
145.19,40.52
123.18,42.87
52.65,23.51
23.67,26.21
105.79,37.26
71.62,29.91
27.09,15.93
79.32,25.45
14.81,17.79
137.3,50.33
46.23,25.0
102.75,33.18
53.64,29.83
82.81,25.38
86.54,35.37
35.88,28.4
145.74,44.85
118.52,39.14
141.53,48.58
135.28,44.11
93.71,27.76
139.06,47.75
22.39,9.99
37.44,21.11
16.33,8.93
55.55,31.03
64.41,23.01
47.99,20.49
126.02,47.45
59.95,19.75
49.33,23.34
85.98,38.46
29.73,9.59
122.31,43.58
20.44,15.39
148.16,53.5
118.11,36.0
37.82,13.15
10.77,13.86
124.16,44.6
108.96,40.14
112.06,41.44
117.98,38.47
20.37,15.25
60.19,26.67
26.22,12.63
130.83,53.53
97.26,37.87
56.33,18.91
18.9,16.75
53.54,19.11
55.53,27.59
112.14,45.11
99.26,32.6
134.21,50.41
76.11,31.67
26.74,19.69
109.85,47.79
116.51,40.02
88.58,29.91
117.94,37.52
79.13,26.99
83.18,31.44
69.86,29.6
13.56,13.54
25.1,19.25
